City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
North Charleston,32.8886,-80.0075,48.99,61,75,10.36,US,1610232791
Norman Wells,65.282,-126.8329,5.0,85,20,6.91,CA,1610232926
Albany,42.6001,-73.9662,28.99,56,100,8.12,US,1610232926
Lorengau,-2.0226,147.2712,84.04,61,100,2.98,PG,1610232927
Kismayo,-0.3582,42.5454,76.89,79,0,19.28,SO,1610232927
East London,-33.0153,27.9116,74.68,77,31,18.7,ZA,1610232928
Pitimbu,-7.4706,-34.8086,80.6,74,0,9.22,BR,1610232928
Itapirapuã,-15.8233,-50.6133,78.3,73,56,3.98,BR,1610232929
Ust'-Koksa,50.2696,85.6108,-2.18,79,80,2.08,RU,1610232929
Visnes,59.3556,5.2242,37.4,87,75,10.36,NO,1610232930
Nanortalik,60.1432,-45.2371,29.61,91,100,7.65,GL,1610232930
Faanui,-16.4833,-151.75,81.37,71,31,11.61,PF,1610232901
Sept-Îles,50.2001,-66.3821,28.4,50,21,10.36,CA,1610232932
Severo-Kuril'sk,50.6789,156.125,21.15,88,92,10.96,RU,1610232932
Luena,-11.7833,19.9167,61.23,95,100,4.7,AO,1610232933
Yangi Marg`ilon,40.4272,71.7189,19.4,79,0,4.61,UZ,1610232933
Mamakan,57.8161,114.0028,-9.24,85,100,1.52,RU,1610232934
Río Cuarto,-33.1307,-64.3499,80.6,50,0,16.11,AR,1610232934
Valdivia,-39.8142,-73.2459,60.8,67,20,16.11,CL,1610232692
Ca Mau,9.1769,105.15,71.28,87,65,5.5,VN,1610232935
Lugovoy,42.9472,72.7644,17.78,76,0,6.02,KZ,1610232935
Camaçari,-12.6975,-38.3242,82.4,78,20,13.8,BR,1610232783
Batemans Bay,-35.7167,150.1833,75.99,77,8,1.01,AU,1610232936
Samarai,-10.6167,150.6667,85.1,74,100,10.58,PG,1610232937
Carlsbad,33.1581,-117.3506,70.0,67,1,5.75,US,1610232937
Hong Kong,22.2855,114.1577,53.01,39,93,1.01,HK,1610232782
Longyearbyen,78.2186,15.6401,30.2,69,20,18.41,SJ,1610232900
Varberg,57.1056,12.2508,34.0,93,64,11.99,SE,1610232938
Paita,-5.0892,-81.1144,78.8,73,0,9.22,PE,1610232939
Roald,62.5833,6.1333,32.0,86,75,20.71,NO,1610232940
Hithadhoo,-0.6,73.0833,80.73,75,100,10.65,MV,1610232941
Matara,5.9485,80.5353,73.33,90,100,4.97,LK,1610232941
Westport,41.1415,-73.3579,35.01,47,90,8.05,US,1610232837
Chokurdakh,70.6333,147.9167,-29.02,86,100,2.06,RU,1610232942
Kuytun,54.3419,101.5036,-3.86,89,100,3.89,RU,1610232942
Kurush,41.2841,47.8345,26.6,93,0,6.35,RU,1610232943
Sitka,57.0531,-135.33,44.6,57,90,26.46,US,1610232943
Misratah,32.3754,15.0925,71.76,34,0,17.92,LY,1610232944
Padang,-0.9492,100.3543,75.2,88,40,4.61,ID,1610232944
Aojiang,22.9421,116.0359,48.99,30,97,1.99,CN,1610232944
Constitución,-35.3333,-72.4167,58.19,70,49,13.98,CL,1610232656
Upernavik,72.7868,-56.1549,10.44,81,30,10.47,GL,1610232945
Mindelo,16.8901,-24.9804,71.6,56,20,24.16,CV,1610232946
Lékoni,-1.5843,14.2591,74.59,73,0,5.99,GA,1610232946
Pisco,-13.7,-76.2167,75.2,73,0,25.32,PE,1610232947
Vao,-22.6667,167.4833,78.62,88,100,13.29,NC,1610232947
Port-Gentil,-0.7193,8.7815,80.6,89,40,8.05,GA,1610232948
Kovdor,67.5662,30.4758,-4.67,91,45,3.33,RU,1610232948
Philadelphia,39.9523,-75.1638,42.8,31,75,12.66,US,1610232832
Kahului,20.8947,-156.47,80.6,65,40,12.66,US,1610232787
Ugoofaaru,5.6667,73.0,82.02,70,90,6.49,MV,1610232949
Souillac,-20.5167,57.5167,78.8,89,40,4.61,MU,1610232950
Kungurtug,50.5994,97.5228,-19.84,80,43,0.72,RU,1610232950
Palana,59.1167,159.9667,9.39,91,100,13.0,RU,1610232951
Tonj,7.2737,28.6822,73.76,30,30,4.81,SS,1610232951
Shingū,33.7333,135.9833,35.6,55,40,19.57,JP,1610232952
Castro,-24.7911,-50.0119,66.85,96,99,7.54,BR,1610232674
Jamestown,42.097,-79.2353,30.2,59,1,9.22,US,1610232776
Wilmington,34.2257,-77.9447,48.2,46,1,9.22,US,1610232933
Champerico,14.3,-91.9167,86.0,62,75,11.5,GT,1610232954
Bosobolo,4.1833,19.9,75.6,44,23,2.53,CD,1610232954
Arraial do Cabo,-22.9661,-42.0278,77.09,92,9,10.71,BR,1610232888
Bethel,41.3712,-73.414,32.0,37,90,12.66,US,1610232953
Grand Gaube,-20.0064,57.6608,77.0,86,1,1.99,MU,1610232956
Saskylakh,71.9167,114.0833,-25.87,85,100,8.79,RU,1610232956
Kaeo,-35.1,173.7833,75.99,68,82,1.01,NZ,1610232956
Saint-Philippe,-21.3585,55.7679,73.4,78,0,4.61,RE,1610232957
Iqaluit,63.7506,-68.5145,10.4,85,90,5.75,CA,1610232957
Takoradze,4.8845,-1.7554,79.11,87,65,9.26,GH,1610232958
Kangaatsiaq,68.3065,-53.4641,15.69,88,100,10.94,GL,1610232958
Rājgīr,25.0333,85.4167,60.8,82,40,6.11,IN,1610232959
Río Gallegos,-51.6226,-69.2181,59.0,58,40,16.11,AR,1610232959
Poronaysk,49.2167,143.1167,-8.77,85,100,6.85,RU,1610232960
Ayan,56.45,138.1667,-8.45,77,100,6.49,RU,1610232960
Awjilah,29.1081,21.2869,64.47,37,0,7.58,LY,1610232960
Acarí,-15.4311,-74.6158,74.26,65,46,7.7,PE,1610232961
New Norfolk,-42.7826,147.0587,71.01,39,12,1.01,AU,1610232961
Arman',59.7,150.1667,-0.26,91,100,9.62,RU,1610232962
Esperance,-33.8667,121.9,77.0,38,100,18.41,AU,1610232962
Mazagão,-0.115,-51.2894,82.4,83,40,6.91,BR,1610232963
Hasaki,35.7333,140.8333,23.0,79,20,4.61,JP,1610232963
Udaipura,23.0833,78.5,66.42,71,76,4.88,IN,1610232963
Lavrentiya,65.5833,-171.0,-12.62,85,0,4.43,RU,1610232964
West Bay,19.3667,-81.4167,77.0,73,75,12.66,KY,1610232964
Itarema,-2.9248,-39.9167,79.75,78,57,13.85,BR,1610232965
Marawi,7.9986,124.2928,75.0,91,67,5.99,PH,1610232965
Puerto Ayora,-0.7393,-90.3518,80.6,69,0,215.19,EC,1610232952
The Valley,18.217,-63.0578,79.0,73,20,11.5,AI,1610232966
Vikulovo,56.8167,70.6107,3.74,94,100,3.94,RU,1610232967
Lebu,-37.6167,-73.65,59.18,71,0,7.05,CL,1610232967
Lerwick,60.1545,-1.1494,37.4,75,40,21.85,GB,1610232967
Kidal,18.4411,1.4078,76.93,17,0,9.57,ML,1610232968
Kavaratti,10.5669,72.642,82.33,75,100,8.63,IN,1610232968
Guerrero Negro,27.9769,-114.0611,65.77,58,0,17.87,MX,1610232969
Bambous Virieux,-20.3428,57.7575,78.8,89,40,4.61,MU,1610232969
Ribeira Grande,38.5167,-28.7,58.41,66,73,14.0,PT,1610232970
Egvekinot,66.3167,-179.1667,-20.61,85,46,9.33,RU,1610232970
Cooma,-36.2333,149.1333,68.0,60,17,5.75,AU,1610232970
Tuatapere,-46.1333,167.6833,58.57,72,97,5.82,NZ,1610232867
Klaksvík,62.2266,-6.589,33.8,60,40,17.27,FO,1610232971
Selishche,56.8879,33.2691,6.76,95,97,4.05,RU,1610232972
Assiut,27.181,31.1837,55.4,71,0,10.36,EG,1610232972
Marzuq,14.4,46.4667,52.3,44,0,3.6,YE,1610232972
Yerofey Pavlovich,53.9667,121.9667,-9.72,88,100,2.46,RU,1610232973
Tiznit Province,29.5833,-9.5,47.64,80,52,11.45,MA,1610232973
Balkhash,46.844,74.9804,-4.23,92,73,9.95,KZ,1610232974
Asău,46.4333,26.4,30.2,100,100,1.14,RO,1610232975
Warrnambool,-38.3833,142.4833,69.01,68,1,5.01,AU,1610232975
Saint-Augustin,51.226,-58.6502,29.46,96,100,13.47,CA,1610232975
Heihe,50.2441,127.4902,-7.6,71,0,4.47,CN,1610232976
Bengkulu,-3.8004,102.2655,75.42,84,100,4.59,ID,1610232977
Hukuntsi,-24.0,21.75,72.93,73,98,9.22,BW,1610232977
Jalu,29.0331,21.5482,64.04,38,0,7.29,LY,1610232977
George Town,5.4112,100.3354,78.8,78,20,4.61,MY,1610232978
Shiyan,32.6475,110.7781,31.86,70,100,2.35,CN,1610232978
Mamou,10.5,-12.0,73.27,49,82,3.65,GN,1610232979
Saldanha,-33.0117,17.9442,66.2,77,0,3.44,ZA,1610232979
Portsmouth,50.799,-1.0913,33.01,100,0,4.38,GB,1610232954
Mahébourg,-20.4081,57.7,78.8,89,40,4.61,MU,1610232980
Provideniya,64.3833,-173.3,-7.31,82,1,7.02,RU,1610232981
Tiksi,71.6872,128.8694,-19.34,88,100,6.73,RU,1610232982
Korla,41.7597,86.1469,11.21,89,0,0.85,CN,1610232982
Gonbad-e Kāvūs,37.25,55.1672,46.26,48,0,6.26,IR,1610232983
Half Moon Bay,37.4636,-122.4286,62.01,76,1,13.8,US,1610232983
Kinablangan,7.6947,126.5503,79.81,75,89,3.69,PH,1610232984
Sandy Bay,-42.913,147.3532,71.01,59,20,5.75,AU,1610232984
Hofn,64.2539,-15.2082,21.81,82,0,11.95,IS,1610232985
Salym,60.0625,71.4789,-17.99,88,91,4.61,RU,1610232985
Banda Aceh,5.5577,95.3222,77.76,77,98,2.48,ID,1610232986
Barra do Garças,-15.89,-52.2567,79.57,68,66,3.71,BR,1610232986
Oriximiná,-1.7656,-55.8661,78.06,83,93,2.8,BR,1610232987
Emmen,52.7792,6.9069,35.6,93,97,2.3,NL,1610232792
Vytegra,61.0064,36.4481,-8.5,91,63,4.45,RU,1610232988
Nyköping,58.753,17.0079,30.2,100,75,6.91,SE,1610232988
Toppenish,46.3774,-120.3087,37.99,97,99,0.47,US,1610232989
Kapit,2.0167,112.9333,74.07,95,74,1.03,MY,1610232989
Sangar,63.9242,127.4739,-39.26,81,99,2.71,RU,1610232990
Kūhdasht,33.535,47.6061,36.54,65,0,1.86,IR,1610232991
Quatre Cocos,-20.2078,57.7625,78.8,89,40,4.61,MU,1610232991
Rongcheng,30.634,117.8517,29.28,77,10,1.05,CN,1610232991
Labuhan,-6.8844,112.2051,77.0,87,100,7.25,ID,1610232992
Guiyang,26.5833,106.7167,28.4,69,90,4.47,CN,1610232992
Felipe Carrillo Puerto,19.5833,-88.05,70.61,68,19,3.98,MX,1610232993
Rørvik,64.8621,11.2373,27.93,95,100,27.22,NO,1610232993
Altay,47.8667,88.1167,-6.25,70,3,2.68,CN,1610232994
Salé,34.0389,-6.8166,48.2,93,75,9.22,MA,1610232994
Windsor,42.3001,-83.0165,41.0,60,75,3.44,CA,1610232876
Cayenne,4.9333,-52.3333,78.8,94,75,3.44,GF,1610232995
Coahuayana Viejo,18.7333,-103.6833,77.0,61,75,11.5,MX,1610232996
Prainha,-1.8,-53.48,77.74,82,95,2.91,BR,1610232997
Dunedin,-45.8742,170.5036,62.71,55,39,5.61,NZ,1610232997
Gboko,7.3179,8.9951,81.25,17,33,5.5,NG,1610232998
Rayong,12.8333,101.4333,71.01,71,89,7.09,TH,1610232998
Brae,60.3964,-1.353,37.4,75,40,21.85,GB,1610232999
Mineiros,-17.5694,-52.5511,74.57,77,99,2.44,BR,1610232743
Batagay,67.6333,134.6333,-20.2,87,99,1.45,RU,1610233000
Te Anau,-45.4167,167.7167,53.96,83,100,6.4,NZ,1610233000
Mayo,38.8876,-76.5119,42.01,48,1,10.36,US,1610232717
Tilichiki,60.4667,166.1,-15.57,86,27,11.81,RU,1610233001
Henties Bay,-22.116,14.2845,68.0,83,88,4.59,NA,1610233002
Kholm,59.2667,32.85,1.58,93,41,4.16,RU,1610233002
Itaobim,-16.5667,-41.8333,75.58,81,76,2.82,BR,1610233003
Gweta,-20.1833,25.2333,77.43,63,94,5.14,BW,1610233003
Avarua,-21.2078,-159.775,84.2,65,75,5.75,CK,1610233004
Lázaro Cárdenas,17.9583,-102.2,79.84,67,1,8.63,MX,1610232939
Narsaq,60.9167,-46.05,42.8,39,75,24.16,GL,1610233004
Palmares do Sul,-30.2578,-50.5097,77.09,77,7,14.2,BR,1610233005
Laguna,38.421,-121.4238,57.0,50,1,6.91,US,1610232848
Kutum,14.2,24.6667,56.95,34,0,9.95,SD,1610233006
Águas Vermelhas,-15.7472,-41.46,69.17,92,78,3.15,BR,1610233007
Lüderitz,-26.6481,15.1594,70.41,52,8,24.54,NA,1610233007
Innisfail,-17.5333,146.0333,81.68,81,85,5.06,AU,1610233007
Harper,4.375,-7.7169,78.44,87,12,7.47,LR,1610232908
Burnie,-41.0667,145.9167,71.01,57,89,1.99,AU,1610233008
Sechura,-5.5569,-80.8222,76.48,62,9,19.42,PE,1610233009
Varzelândia,-15.7014,-44.0275,73.15,78,93,4.68,BR,1610233010
Cascais,38.6979,-9.4215,44.01,56,0,5.75,PT,1610233010
Laas,46.6166,10.7002,21.0,67,0,6.91,IT,1610233011
Acapulco de Juárez,16.8634,-99.8901,84.2,70,40,6.91,MX,1610233011
Balabac,7.9868,117.0645,81.79,79,74,22.88,PH,1610233012
Cabo San Lucas,22.8909,-109.9124,75.99,49,1,11.5,MX,1610232747
Guilin,25.2819,110.2864,41.0,42,90,2.24,CN,1610233013
Aquiraz,-3.9014,-38.3911,80.6,78,0,8.05,BR,1610233013
Ballina,-28.8667,153.5667,77.0,68,90,6.91,AU,1610233014
Trairi,-3.2778,-39.2689,79.65,77,10,9.8,BR,1610233014
Kudahuvadhoo,2.6708,72.8944,81.25,73,100,8.77,MV,1610233015
Brookhaven,31.5791,-90.4407,44.01,61,0,5.01,US,1610233015
Vardø,70.3705,31.1107,20.93,94,100,15.61,NO,1610233016
Lompoc,34.6391,-120.4579,69.8,26,1,12.66,US,1610233016
San Quintín,30.4833,-115.95,63.7,59,0,10.54,MX,1610232798
Nikolskoye,59.7035,30.7861,8.01,78,0,4.47,RU,1610233017
Matthews,35.1168,-80.7237,44.01,65,0,3.31,US,1610232983
Airai,-8.9266,125.4092,66.02,100,100,1.19,TL,1610232903
Marsaxlokk,35.8419,14.5431,69.01,73,0,12.66,MT,1610233018
Myitkyina,25.3833,97.4,58.46,71,16,2.33,MM,1610233019
Dubuque,42.4833,-90.8668,26.6,80,90,6.91,US,1610232992
Zhigansk,66.7697,123.3711,-27.02,85,100,6.82,RU,1610233019
Bredasdorp,-34.5322,20.0403,64.4,88,47,5.75,ZA,1610233020
Mersing,2.4312,103.8405,75.2,94,100,14.97,MY,1610232861
Tampakan,6.4442,124.9264,76.96,81,27,0.22,PH,1610233021
Saint-Joseph,-21.3667,55.6167,73.4,78,0,4.61,RE,1610233021
Pacific Grove,36.6177,-121.9166,62.01,47,1,5.75,US,1610233022
Hudiksvall,61.729,17.1036,23.45,97,59,9.26,SE,1610233022
Odesskoye,54.2111,72.9651,14.07,96,100,16.49,RU,1610233023
Pathein,16.7833,94.7333,72.12,83,0,3.65,MM,1610233024
San Juan,-31.5375,-68.5364,88.39,26,0,8.08,AR,1610232728
Panabá,21.2833,-88.2667,66.99,78,100,5.97,MX,1610233024
Blairmore,49.6,-114.4353,33.8,69,58,13.8,CA,1610233025
Bayan,46.0833,127.4,-20.92,87,7,4.23,CN,1610233025
Zaranj,30.9667,61.8833,31.96,66,0,2.62,AF,1610233026
Kieta,-6.2167,155.6333,86.18,61,49,0.83,PG,1610233026
Lensk,60.7253,114.9278,-9.27,87,100,7.76,RU,1610232963
Una,20.8167,71.0333,71.19,54,0,15.46,IN,1610233027
Susanville,40.4163,-120.653,39.99,56,1,3.44,US,1610233028
Khandyga,62.6667,135.6,-32.57,84,100,1.03,RU,1610233028
Quelimane,-17.8786,36.8883,77.18,91,100,0.49,MZ,1610233028
Vanavara,60.34,102.2797,-8.57,90,100,6.13,RU,1610233029
Flin Flon,54.7682,-101.865,14.0,85,1,6.91,CA,1610233029
Ambon City,-3.6954,128.1814,78.8,94,40,9.22,ID,1610233023
Hualmay,-11.0964,-77.6139,72.72,76,53,11.32,PE,1610233030
Nanning,22.8167,108.3167,44.6,49,90,8.95,CN,1610232899
Biak,-0.9131,122.8766,78.57,79,56,2.53,ID,1610233031
Sawākin,19.1059,37.3321,75.58,75,0,9.84,SD,1610233032
Carnarvon,-24.8667,113.6333,80.6,78,68,14.97,AU,1610232993
Beringovskiy,63.05,179.3167,-14.62,88,100,11.61,RU,1610233033
San Anselmo,37.9747,-122.5616,62.6,48,1,8.05,US,1610232986
Mozarlândia,-14.7447,-50.5706,81.39,66,87,3.51,BR,1610233031
Nemuro,43.3236,145.575,17.71,88,0,10.8,JP,1610233018
Safi,32.2994,-9.2372,55.74,67,58,19.37,MA,1610233034
Vanimo,-2.6741,141.3028,81.21,83,100,2.01,PG,1610233035
Qaqortoq,60.7167,-46.0333,42.8,39,75,24.16,GL,1610233036
Katherine,-14.4667,132.2667,82.4,74,58,5.75,AU,1610233036
North Bend,43.4065,-124.2243,55.4,62,1,6.91,US,1610233037
Talcahuano,-36.7167,-73.1167,66.2,52,0,12.66,CL,1610233037
Bariloche,-41.1456,-71.3082,53.6,58,75,28.77,AR,1610232767
Merke,42.8728,73.1786,23.7,65,0,6.76,KZ,1610232867
Yulara,-25.2406,130.9889,80.6,21,0,9.22,AU,1610233038
Tuktoyaktuk,69.4541,-133.0374,1.4,85,75,18.41,CA,1610232985
Pangai,-19.8,-174.35,80.26,82,29,14.61,TO,1610233039
Malinovoye Ozero,51.6753,79.7825,3.54,88,100,12.62,RU,1610233040
Olafsvik,64.8945,-23.7142,29.19,94,100,12.77,IS,1610233040
São Filipe,14.8961,-24.4956,72.28,74,10,17.16,CV,1610232880
Hamilton,39.1834,-84.5333,33.01,68,5,2.8,US,1610233019
Manokwari,-0.8667,134.0833,80.53,75,100,0.74,ID,1610233042
Cam Ranh,11.9214,109.1591,73.4,78,20,14.97,VN,1610233042
Severnyy,50.677,36.5532,32.0,86,75,13.42,RU,1610233043
Krasnosel'kup,65.7,82.4667,-11.94,90,93,7.09,RU,1610233044
Broome,42.2506,-75.833,28.99,69,1,11.5,US,1610233044
Kamaishi,39.2667,141.8833,23.0,93,75,6.91,JP,1610233045
Mandera,3.9366,41.867,78.22,30,5,9.89,KE,1610233045
Northam,51.0333,-4.2167,35.01,91,1,1.01,GB,1610233046
Bambanglipuro,-7.95,110.2833,77.2,87,93,2.91,ID,1610233046
San Patricio,28.017,-97.5169,55.4,71,90,11.5,US,1610233047
Vredefort,-27.0081,27.3646,74.08,49,85,6.02,ZA,1610233047
Nurota,40.5614,65.6886,19.4,73,0,11.5,UZ,1610233048
Chifeng,42.2683,118.9636,-3.42,82,9,9.98,CN,1610233048
Saint-François,46.4154,3.9054,30.99,74,20,6.91,FR,1610233049
Suntar,62.1444,117.6319,-31.94,83,82,4.25,RU,1610233049
Mitsamiouli,-11.3847,43.2844,81.73,80,8,14.81,KM,1610233050
Pierre,44.3683,-100.351,34.0,100,96,3.0,US,1610233050
Virovitica,45.8319,17.3839,30.99,95,100,3.98,HR,1610233051
Vadsø,70.0744,29.7487,5.0,92,90,12.66,NO,1610233051
Fairbanks,64.8378,-147.7164,12.2,79,90,5.75,US,1610232914
Alofi,-19.0595,-169.9187,86.0,62,48,14.97,NU,1610233052
Roebourne,-20.7833,117.1333,93.69,36,42,13.76,AU,1610233052
Kaitangata,-46.2817,169.8464,66.99,56,70,8.01,NZ,1610233010
Äänekoski,62.6946,25.818,8.6,92,90,2.3,FI,1610233053
Khatanga,71.9667,102.5,-31.14,85,75,3.04,RU,1610233054
Adrar,20.5022,-10.0711,62.46,43,0,11.56,MR,1610233054
Drezdenko,52.8383,15.8308,37.0,85,99,1.99,PL,1610233055
Yamada,39.4667,141.95,24.87,89,5,11.07,JP,1610233055
Fare,-16.7,-151.0167,80.98,73,36,12.21,PF,1610233056
Meulaboh,4.1363,96.1285,74.5,87,99,4.52,ID,1610233056
Vaitape,-16.5167,-151.75,81.41,71,33,11.52,PF,1610233057
Chipinge,-20.1883,32.6236,64.26,98,89,4.16,ZW,1610233057
Søgne,58.0833,7.8167,41.0,93,75,3.44,NO,1610233057
Danville,36.586,-79.395,44.6,39,1,9.22,US,1610233058
Dimona,31.0667,35.0333,55.67,52,3,5.66,IL,1610233058
Chaman,30.9236,66.4512,33.4,75,0,3.22,PK,1610233059
Kolokani,13.5728,-8.0339,77.2,16,0,4.81,ML,1610232864
Natal,-5.795,-35.2094,80.6,74,20,9.22,BR,1610232992
Nuevo Progreso,23.1667,-97.95,64.0,95,100,1.99,MX,1610233060
Aldan,58.6031,125.3894,-11.52,90,100,9.66,RU,1610233060
Verkhnyaya Syrovatka,50.829,34.9586,29.98,96,99,12.59,UA,1610233061
